"id","duration","date","userId","modifiedById","phoneProvider","direction","mediaType","dealId","userTalkRatio","longestContactMonologue","patience","interactionSpeed","role","teams","contacts","tag"
5288,657.344,2021-10-11 12:02:24,14,,zoom,outbound,video,543,0.292525099716101,80.300546646118,0.7711346149444166,3.01212150715607,admin,{Sales},1,Client Follow Up
5285,205.47925,2021-10-08 18:04:23,63,,aircall,outbound,audio,,0.4523965632432092,23.70856118202201,0.4052822760172984,8.176008039741237,admin,{Sales},1,Cold Call
5282,1607.104,2021-10-08 11:03:51,18,,zoom,outbound,video,488,0.4835520259732481,57.836065769200104,0.27862879487349335,4.592111027039943,admin,{Account Manager},1,Client Follow Up
5277,249.9135,2021-10-07 18:10:25,23,,aircall,outbound,audio,,0.4529363242178391,43.1857924461365,1.7711541598492924,5.521910581061047,admin,{Sales},1,Unscheduled Follow up
5279,1948.75,2021-10-07 18:00:00,8,,google,outbound,video,,0.3159281590763313,267.81999999999994,0.46779411764705187,2.032071840923669,admin,{Sales},2,"1st Call"
5278,3325.6,2021-10-07 17:30:42,14,14,zoom,outbound,video,644,0.45007477433120036,213.0054645538327,0.8952641350032343,1.8222275679576618,admin,{Sales},1,Demo
5275,1256.736,2021-10-07 17:00:50,17,,zoom,outbound,video,595,0.5271338827332344,52.20582866668701,0.5026108622556364,2.816820716522802,admin,{Sales},2,Prospect Follow up
5280,981.959,2021-10-07 16:30:00,18,18,google,outbound,video,645,0.4140472390840199,63.646630287169955,0.19518001262968726,3.2384244148686454,admin,{Account Manager},1,Client Follow Up
5271,667.0105,2021-10-07 15:36:14,23,,manual,inbound,audio,142,0.36965907831535794,88.357012748719,0.6889799907802052,2.7885617992520357,admin,{Sales},1,Prospect Follow up
5272,1737.344,2021-10-07 15:35:04,18,,zoom,outbound,video,643,0.44839397187517094,98.61748623847893,0.35958074937066564,4.178792455610402,admin,{Account Manager},1,Client Follow Up
5270,769.344,2021-10-07 15:03:49,8,,zoom,outbound,video,384,0.7315981334696563,36.27322387695301,0.819038676178891,3.509483404042925,admin,{Sales},1,Demo
5268,505.96575,2021-10-07 14:50:12,17,,aircall,inbound,audio,,0.5071943100516438,27.313296794891983,0.11194598178066932,5.454914685430783,admin,{Sales},1,Cold Call
5266,808.576,2021-10-07 11:48:03,8,8,zoom,outbound,video,485,0.4591489603923677,58.276866912842024,0.449438908407738,4.674885230330853,admin,{Sales},1,Set up
