name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,engine,seats
Maruti Swift Dzire VDI,2014,6164,145500,Diesel,Individual,Manual,First Owner,1248 CC,5
Skoda Rapid 1.5 TDI Ambition,2014,5068,120000,Diesel,Individual,Manual,Second Owner,1498 CC,5
Honda City 2017-2020 EXi,2006,2164,140000,Petrol,Individual,Manual,Third Owner,1497 CC,5
Hyundai i20 Sportz Diesel,2010,3082,127000,Diesel,Individual,Manual,First Owner,1396 CC,5
Maruti Swift VXI BSIII,2007,1781,120000,Petrol,Individual,Manual,First Owner,1298 CC,5
Hyundai Xcent 1.2 VTVT E Plus,2017,6027,45000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Wagon R LXI DUO BSIII,2007,1315,175000,LPG,Individual,Manual,First Owner,1061 CC,5
Maruti 800 DX BSII,2001,616,5000,Petrol,Individual,Manual,Second Owner,796 CC,4
Toyota Etios VXD,2011,4795,90000,Diesel,Individual,Manual,First Owner,1364 CC,5
Ford Figo Diesel Celebration Edition,2013,2740,169000,Diesel,Individual,Manual,First Owner,1399 CC,5
Renault Duster 110PS Diesel RxL,2014,6849,68000,Diesel,Individual,Manual,Second Owner,1461 CC,5
Maruti Zen LX,2005,1260,100000,Petrol,Individual,Manual,Second Owner,993 CC,5
Maruti Swift Dzire VDi,2009,3836,140000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Maruti Swift 1.3 VXi,2007,2740,80000,Petrol,Individual,Manual,Second Owner,,
Maruti Wagon R LXI Minor,2009,2466,90000,Petrol,Individual,Manual,Second Owner,1061 CC,5
Mahindra KUV 100 mFALCON G80 K8 5str,2016,5479,40000,Petrol,Individual,Manual,First Owner,1198 CC,5
Maruti Ertiga SHVS VDI,2016,10658,70000,Diesel,Individual,Manual,Second Owner,1248 CC,7
Hyundai i20 1.4 CRDi Asta,2012,6849,53000,Diesel,Individual,Manual,Second Owner,1396 CC,5
Maruti Alto LX,2002,2055,80000,Petrol,Individual,Manual,Second Owner,796 CC,5
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,9315,100000,Diesel,Individual,Manual,First Owner,1396 CC,5
Mahindra Verito 1.5 D4 BSIII,2011,2384,100000,Diesel,Individual,Manual,Second Owner,1461 CC,5
Honda WR-V i-DTEC VX,2017,13014,50000,Diesel,Individual,Manual,First Owner,1498 CC,5
Maruti Swift Dzire ZDI,2015,7192,40000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti SX4 ZDI,2012,8219,72000,Diesel,Individual,Manual,First Owner,1248 CC,5
Tata Tigor 2017-2020 XZ,2018,6849,35000,Petrol,Individual,Manual,First Owner,1199 CC,5
Maruti Baleno Delta 1.2,2016,7877,45000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Alto 800 LXI,2017,3767,28000,Petrol,Individual,Manual,First Owner,796 CC,5
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,4110,70000,Diesel,Individual,Manual,First Owner,1248 CC,7
Maruti Wagon R LXI Minor,2009,3014,120000,Petrol,Individual,Manual,First Owner,1061 CC,5
Maruti Omni E MPI STD BS IV,2018,3493,25000,Petrol,Individual,Manual,First Owner,796 CC,8
Maruti Vitara Brezza LDi Option,2017,9178,70000,Diesel,Individual,Manual,First Owner,1248 CC,5
Fiat Palio 1.2 ELX,2003,959,50000,Petrol,Individual,Manual,Second Owner,,
Maruti Omni 8 Seater BSIV,2012,2055,35000,Petrol,Individual,Manual,Second Owner,796 CC,5
Hyundai i20 1.2 Asta Dual Tone,2018,10000,2388,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Vitara Brezza LDi,2017,8904,16200,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Alto 800 CNG LXI Optional,2019,4521,10000,CNG,Individual,Manual,Second Owner,796 CC,4
Maruti Alto K10 VXI Airbag,2019,5014,15000,Petrol,Individual,Manual,First Owner,998 CC,5
Hyundai Verna VTVT 1.6 SX Option,2019,15740,5000,Petrol,Individual,Manual,First Owner,1591 CC,5
Datsun GO D,2016,2055,42000,Petrol,Individual,Manual,First Owner,1198 CC,5
Tata Safari DICOR 2.2 LX 4x2,2011,5822,60000,Diesel,Individual,Manual,Second Owner,2179 CC,7
Maruti 800 Std,2012,2055,76000,Petrol,Individual,Manual,First Owner,796 CC,4
Jeep Compass 1.4 Limited Plus BSIV,2019,28767,5000,Petrol,Individual,Automatic,First Owner,1368 CC,5
Honda City i VTEC VX,2018,12671,28900,Petrol,Dealer,Manual,First Owner,1497 CC,5
Honda City V MT,2013,5822,86300,Petrol,Dealer,Manual,First Owner,1497 CC,5
Maruti Swift Dzire VXi AT,2018,9247,23300,Petrol,Dealer,Automatic,First Owner,1197 CC,5
Maruti Vitara Brezza VDi,2018,11233,32600,Diesel,Dealer,Manual,First Owner,1248 CC,5
Maruti Alto K10 VXI,2018,5342,10300,Petrol,Dealer,Manual,First Owner,998 CC,5
Toyota Fortuner 4x4 MT,2014,20548,77000,Diesel,Dealer,Manual,First Owner,2982 CC,7
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,9589,99000,Diesel,Dealer,Manual,First Owner,2494 CC,7
Mercedes-Benz B Class B180,2014,19863,27800,Diesel,Dealer,Automatic,Second Owner,2143 CC,5
Honda Amaze S Diesel,2015,5822,49800,Diesel,Dealer,Manual,First Owner,1498 CC,5
Mitsubishi Pajero Sport 4X4,2013,14932,151000,Diesel,Dealer,Manual,First Owner,2477 CC,7
Honda City i DTEC S,2015,8219,54700,Diesel,Dealer,Manual,First Owner,1498 CC,5
Maruti Ciaz Zeta,2018,11644,64000,Petrol,Dealer,Manual,First Owner,1462 CC,5
Honda Jazz VX Diesel,2015,7192,63000,Diesel,Dealer,Manual,First Owner,1498 CC,5
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,22603,127700,Diesel,Dealer,Automatic,Second Owner,2755 CC,7
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,13014,99000,Diesel,Dealer,Manual,First Owner,2494 CC,7
Audi A6 2.0 TDI Technology,2013,23973,33900,Diesel,Dealer,Automatic,Second Owner,1968 CC,5
Toyota Corolla Altis 1.8 VL CVT,2018,21781,25000,Petrol,Dealer,Automatic,First Owner,1798 CC,5
Audi A6 2.0 TDI  Design Edition,2013,23151,50000,Diesel,Dealer,Automatic,First Owner,1968 CC,5
Mercedes-Benz New C-Class 220 CDI AT,2013,19521,59000,Diesel,Dealer,Automatic,First Owner,2143 CC,5
Tata Manza ELAN Quadrajet BS IV,2011,3630,120000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai i10 Magna,2011,2603,110000,Petrol,Individual,Manual,Third Owner,1197 CC,5
Hyundai i20 Asta 1.4 CRDi,2013,5822,60000,Diesel,Individual,Manual,First Owner,1396 CC,5
Maruti Swift Dzire ZDI,2015,8630,147000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Ford Figo 1.2P Titanium MT,2017,8219,25000,Petrol,Individual,Manual,Third Owner,1196 CC,5
Maruti Baleno Delta 1.2,2019,8904,30000,Petrol,Individual,Manual,First Owner,1197 CC,5
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,7397,40000,Diesel,Individual,Manual,First Owner,1498 CC,5
Honda City i DTEC VX,2015,8630,135000,Diesel,Individual,Manual,First Owner,1498 CC,5
Maruti Wagon R AMT VXI,2018,6137,30000,Petrol,Individual,Automatic,First Owner,998 CC,5
Volkswagen Ameo 1.5 TDI Comfortline,2017,6849,80000,Diesel,Individual,Manual,First Owner,1498 CC,5
Maruti Vitara Brezza VDi,2016,10205,70000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Vitara Brezza ZDi Plus AMT,2019,14041,9850,Diesel,Individual,Automatic,First Owner,1248 CC,5
Hyundai i10 Magna,2011,3219,60000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Maruti Swift VDI Deca,2016,8630,70000,Diesel,Individual,Manual,First Owner,1248 CC,5
Toyota Fortuner 4x4 MT,2015,23288,78000,Diesel,Individual,Manual,Second Owner,2982 CC,7
Maruti Swift Star VDI,2013,6164,120000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Maruti Ertiga ZXI,2012,6164,120000,Petrol,Individual,Manual,Second Owner,1373 CC,7
Tata Indica DLS,2003,685,70000,Diesel,Individual,Manual,First Owner,,
Volkswagen Vento Diesel Highline,2013,6164,170000,Diesel,Individual,Manual,First Owner,1598 CC,5
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,16438,140000,Diesel,Individual,Manual,First Owner,2494 CC,8
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,8356,90000,Diesel,Individual,Manual,First Owner,1498 CC,5
BMW X1 sDrive20i xLine,2016,34247,30000,Petrol,Individual,Automatic,Second Owner,1998 CC,5
Maruti Celerio ZXI MT BSIV,2017,6644,10000,Petrol,Dealer,Manual,First Owner,998 CC,5
Datsun GO A Petrol,2016,3767,49000,Petrol,Dealer,Manual,First Owner,1198 CC,5
Maruti Alto 800 VXI BSIV,2016,4315,32000,Petrol,Dealer,Manual,First Owner,796 CC,5
Maruti Alto 800 LXI BSIV,2016,3767,38000,Petrol,Dealer,Manual,First Owner,796 CC,5
Maruti Swift VDI BSIV W ABS,2015,6507,78000,Diesel,Dealer,Manual,First Owner,,
Hyundai i10 Era 1.1,2012,3973,28000,Petrol,Dealer,Manual,First Owner,1086 CC,5
Maruti Omni 8 Seater BSIV,2017,3836,32000,Petrol,Dealer,Manual,First Owner,796 CC,5
Maruti Wagon R LXI LPG BSIV,2010,3082,44000,LPG,Dealer,Manual,First Owner,998 CC,5
Volkswagen Polo 1.2 MPI Comfortline,2015,6233,42000,Petrol,Dealer,Manual,First Owner,1198 CC,5
Hyundai i10 Magna 1.1L,2015,4808,45000,Petrol,Dealer,Manual,Second Owner,1086 CC,5
Volkswagen Vento Petrol Highline,2012,7329,12000,Petrol,Dealer,Manual,Second Owner,1598 CC,5
Maruti Zen Estilo LXI BSIII,2009,2397,55500,Petrol,Dealer,Manual,First Owner,998 CC,5
Hyundai i20 Asta Optional with Sunroof 1.2,2013,7192,61500,Petrol,Dealer,Manual,First Owner,1197 CC,5
Maruti Swift Dzire LDI,2016,8219,150000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Xcent 1.2 Kappa SX Option AT,2016,7740,72000,Petrol,Dealer,Automatic,First Owner,1197 CC,5
Maruti Alto LX BSIII,2008,1644,68000,Petrol,Dealer,Manual,Third Owner,796 CC,5
Hyundai i20 1.4 Asta Option,2017,9932,110000,Diesel,Individual,Manual,First Owner,1396 CC,5
